candle_end_time,open,high,low,close,amount,info
2021-08-09,44.320,46.740,44.320,45.800,730430.000,
2021-08-10,45.820,47.270,45.300,46.950,663575.000,
2021-08-11,46.950,48.510,46.740,47.640,568555.000,
2021-08-12,47.440,48.240,47.150,47.420,397182.000,
2021-08-13,47.450,48.090,47.050,47.920,467405.000,
2021-08-16,47.940,47.980,46.240,47.610,744140.000,
2021-08-17,47.610,48.140,46.260,46.360,603232.000,
2021-08-18,46.730,50.310,46.660,49.880,1231242.000,
2021-08-19,49.540,49.840,48.100,48.320,676301.000,
2021-08-20,48.480,49.310,46.640,47.770,693765.000,
2021-08-23,48.220,49.610,47.950,48.630,539017.000,
2021-08-24,48.760,49.590,47.750,48.940,528277.000,
2021-08-25,49.320,49.450,47.950,48.170,407381.000,
2021-08-26,48.670,48.670,46.220,46.340,763035.000,
2021-08-27,46.440,47.560,46.240,47.090,386142.000,
2021-08-30,47.090,47.090,44.350,45.190,1079682.000,
2021-08-31,45.190,46.190,44.590,45.700,710440.000,
2021-09-01,45.620,47.690,45.340,47.530,826055.000,
2021-09-02,47.430,48.620,47.040,48.340,726201.000,
2021-09-03,48.440,49.070,47.150,48.740,642573.000,
2021-09-06,48.250,49.490,47.920,47.940,547428.000,
2021-09-07,48.030,49.820,47.190,49.550,772320.000,
2021-09-08,49.460,50.290,49.000,49.150,553907.000,
2021-09-09,48.840,49.420,48.420,48.840,357800.000,
2021-09-10,48.740,51.260,48.490,50.860,1070978.000,
2021-09-13,50.410,51.240,50.240,50.660,592830.000,
2021-09-14,51.040,51.630,48.540,48.840,631166.000,
2021-09-15,48.740,49.230,47.540,48.140,542338.000,
2021-09-16,47.970,48.570,46.950,47.440,629896.000,
2021-09-17,47.520,48.280,47.240,47.990,420165.000,
2021-09-22,45.420,46.720,44.840,46.150,1122596.000,
2021-09-23,46.240,47.270,45.350,45.580,861025.000,
2021-09-24,45.190,46.070,45.140,45.510,532039.000,
2021-09-27,45.030,46.540,44.950,45.830,667905.000,
2021-09-28,45.840,47.720,45.830,47.160,709925.000,
2021-09-29,46.690,48.910,46.350,48.300,904610.000,
2021-09-30,48.140,48.170,46.840,47.190,586118.000,
2021-10-08,46.760,47.820,46.760,47.670,645553.000,
2021-10-11,48.180,50.920,48.180,49.740,971779.000,
2021-10-12,49.440,50.530,49.040,49.830,589373.000,
2021-10-13,49.690,50.140,48.790,49.770,442557.000,
2021-10-14,49.730,49.990,48.940,49.100,288996.000,
2021-10-15,49.190,50.180,49.090,50.050,420358.000,
2021-10-18,50.050,50.090,48.290,48.600,577945.000,
2021-10-19,48.990,50.060,48.740,49.620,481693.000,
2021-10-20,49.950,50.380,49.020,49.140,305710.000,
2021-10-21,49.590,50.740,49.340,50.490,576587.000,
2021-10-22,50.830,51.540,50.470,51.030,547151.000,
2021-10-25,50.570,51.670,49.840,51.330,623341.000,
2021-10-26,51.330,52.970,51.040,52.040,715424.000,
2021-10-27,51.940,51.940,50.570,51.260,420394.000,
2021-10-28,51.040,51.740,50.590,50.960,346232.000,
2021-10-29,50.960,51.490,50.440,50.710,405439.000,
2021-11-01,50.740,51.640,50.040,50.860,425018.000,
2021-11-02,51.090,51.230,48.410,48.990,752206.000,
2021-11-03,49.090,49.230,48.410,48.440,444372.000,
2021-11-04,48.740,48.840,48.020,48.490,482915.000,
2021-11-05,48.460,48.850,48.160,48.300,361974.000,
2021-11-08,48.060,48.640,47.540,48.040,386749.000,
2021-11-09,48.140,48.440,47.340,47.800,387884.000,
2021-11-10,47.800,47.890,46.780,47.370,558071.000,
2021-11-11,47.290,49.610,47.200,49.560,849732.000,
2021-11-12,49.560,49.920,48.990,49.140,343597.000,
2021-11-15,49.530,50.350,49.110,49.670,366950.000,
2021-11-16,49.640,50.120,48.900,49.240,322315.000,
2021-11-17,48.960,49.570,48.550,48.580,339386.000,
2021-11-18,48.540,48.740,47.740,48.150,342443.000,
2021-11-19,48.220,49.480,47.850,49.070,464668.000,
2021-11-22,48.840,49.080,48.330,48.430,376538.000,
2021-11-23,48.490,49.040,48.180,48.490,389149.000,
2021-11-24,48.330,48.640,47.910,48.480,315040.000,
2021-11-25,48.440,48.440,47.980,48.160,215660.000,
2021-11-26,47.940,48.190,46.620,46.840,823357.000,
2021-11-29,46.520,46.840,45.560,46.560,827247.000,
2021-11-30,46.220,46.590,45.650,46.230,610043.000,
2021-12-01,46.220,46.940,46.020,46.730,500361.000,
2021-12-02,46.750,47.740,46.230,47.630,556070.000,
2021-12-03,47.810,48.020,47.210,47.990,494076.000,
2021-12-06,48.230,49.140,48.070,48.560,604716.000,
2021-12-07,49.030,49.320,47.840,48.580,540774.000,
2021-12-08,48.720,49.020,48.140,48.780,490975.000,
2021-12-09,48.990,50.580,48.540,49.870,840557.000,
2021-12-10,49.640,50.230,49.420,50.230,564263.000,
2021-12-13,50.300,50.940,49.150,49.160,645546.000,
2021-12-14,49.060,49.240,47.590,47.890,810629.000,
2021-12-15,47.740,48.080,47.520,47.740,378493.000,
2021-12-16,47.650,48.040,47.350,47.940,383653.000,
2021-12-17,47.830,48.140,47.400,47.510,476449.000,
2021-12-20,47.440,48.040,47.130,47.430,470826.000,
2021-12-21,47.390,47.730,47.040,47.370,356944.000,
2021-12-22,47.370,47.490,46.620,46.750,436828.000,
2021-12-23,46.850,47.000,46.420,46.960,423709.000,
2021-12-24,46.960,46.960,46.580,46.600,344651.000,
2021-12-27,46.610,46.800,45.740,46.070,735943.000,
2021-12-28,46.070,46.540,45.940,46.370,653221.000,
2021-12-29,46.410,46.460,44.350,44.360,1438903.000,
2021-12-30,44.630,45.520,44.400,45.240,967917.000,
2021-12-31,45.280,45.620,45.070,45.450,492935.000,
2022-01-04,45.450,45.450,44.250,45.090,719606.000,
